tiempo,lane_id,vehiculos_en_cola
59.0,337277973#1_0,1
59.0,337277973#1_1,2
59.0,337277973#0_1,0
59.0,337277973#0_0,0
59.0,567060342#1_0,0
59.0,567060342#0_0,0
59.0,337277981#1_1,0
59.0,337277981#1_0,0
59.0,337277981#2_1,0
59.0,337277981#2_0,0
59.0,42143912#5_0,0
59.0,42143912#3_0,0
59.0,42143912#4_0,0
59.0,337277970#1_0,0
59.0,337277970#1_1,3
59.0,40668087#1_0,0
60.0,567060342#1_0,0
60.0,567060342#0_0,0
60.0,337277973#1_0,1
60.0,337277973#1_1,2
60.0,337277973#0_1,0
60.0,337277973#0_0,0
60.0,567060342#1_0,0
60.0,567060342#0_0,0
60.0,337277981#1_1,0
60.0,337277981#1_0,0
60.0,337277981#2_1,0
60.0,337277981#2_0,0
60.0,42143912#5_0,0
60.0,42143912#3_0,0
60.0,42143912#4_0,0
60.0,337277970#1_0,1
60.0,337277970#1_1,2
60.0,40668087#1_0,0
61.0,567060342#1_0,0
61.0,567060342#0_0,0
61.0,337277973#1_0,0
61.0,337277973#1_1,2
61.0,337277973#0_1,0
61.0,337277973#0_0,0
61.0,567060342#1_0,0
61.0,567060342#0_0,0
61.0,337277981#1_1,0
61.0,337277981#1_0,0
61.0,337277981#2_1,0
61.0,337277981#2_0,0
61.0,42143912#5_0,0
61.0,42143912#3_0,0
61.0,42143912#4_0,0
61.0,337277970#1_0,0
61.0,337277970#1_1,2
61.0,40668087#1_0,0
62.0,567060342#1_0,0
62.0,567060342#0_0,0
62.0,337277973#1_0,0
62.0,337277973#1_1,2
62.0,337277973#0_1,0
62.0,337277973#0_0,0
62.0,567060342#1_0,0
62.0,567060342#0_0,0
62.0,337277981#1_1,0
62.0,337277981#1_0,0
62.0,337277981#2_1,0
62.0,337277981#2_0,0
62.0,42143912#5_0,0
62.0,42143912#3_0,0
62.0,42143912#4_0,0
62.0,337277970#1_0,0
62.0,337277970#1_1,2
62.0,40668087#1_0,0
63.0,567060342#1_0,0
63.0,567060342#0_0,0
63.0,337277973#1_0,0
63.0,337277973#1_1,2
63.0,337277973#0_1,0
63.0,337277973#0_0,0
63.0,567060342#1_0,0
63.0,567060342#0_0,0
63.0,337277981#1_1,0
63.0,337277981#1_0,0
63.0,337277981#2_1,0
63.0,337277981#2_0,0
63.0,42143912#5_0,0
63.0,42143912#3_0,0
63.0,42143912#4_0,0
63.0,337277970#1_0,0
63.0,337277970#1_1,2
63.0,40668087#1_0,0
64.0,567060342#1_0,0
64.0,567060342#0_0,0
64.0,337277973#1_0,0
64.0,337277973#1_1,2
64.0,337277973#0_1,0
64.0,337277973#0_0,0
64.0,567060342#1_0,0
64.0,567060342#0_0,0
64.0,337277981#1_1,0
64.0,337277981#1_0,0
64.0,337277981#2_1,0
64.0,337277981#2_0,0
64.0,42143912#5_0,0
64.0,42143912#3_0,0
64.0,42143912#4_0,0
64.0,337277970#1_0,0
64.0,337277970#1_1,1
64.0,40668087#1_0,0
65.0,567060342#1_0,0
65.0,567060342#0_0,0
65.0,337277973#1_0,0
65.0,337277973#1_1,2
65.0,337277973#0_1,0
65.0,337277973#0_0,0
65.0,567060342#1_0,0
65.0,567060342#0_0,0
65.0,337277981#1_1,0
65.0,337277981#1_0,0
65.0,337277981#2_1,0
65.0,337277981#2_0,0
65.0,42143912#5_0,0
65.0,42143912#3_0,0
65.0,42143912#4_0,0
65.0,337277970#1_0,0
65.0,337277970#1_1,1
65.0,40668087#1_0,0
66.0,567060342#1_0,0
66.0,567060342#0_0,0
66.0,337277973#1_0,0
66.0,337277973#1_1,2
66.0,337277973#0_1,0
66.0,337277973#0_0,0
66.0,567060342#1_0,0
66.0,567060342#0_0,0
66.0,337277981#1_1,0
66.0,337277981#1_0,0
66.0,337277981#2_1,0
66.0,337277981#2_0,0
66.0,42143912#5_0,0
66.0,42143912#3_0,0
66.0,42143912#4_0,0
66.0,337277970#1_0,0
66.0,337277970#1_1,0
66.0,40668087#1_0,0
67.0,567060342#1_0,0
67.0,567060342#0_0,0
67.0,337277973#1_0,0
67.0,337277973#1_1,2
67.0,337277973#0_1,0
67.0,337277973#0_0,0
67.0,567060342#1_0,0
67.0,567060342#0_0,0
67.0,337277981#1_1,0
67.0,337277981#1_0,0
67.0,337277981#2_1,0
67.0,337277981#2_0,0
67.0,42143912#5_0,0
67.0,42143912#3_0,0
67.0,42143912#4_0,0
67.0,337277970#1_0,0
67.0,337277970#1_1,0
67.0,40668087#1_0,0
68.0,567060342#1_0,0
68.0,567060342#0_0,0
68.0,337277973#1_0,0
68.0,337277973#1_1,1
68.0,337277973#0_1,0
68.0,337277973#0_0,0
68.0,567060342#1_0,0
68.0,567060342#0_0,0
68.0,337277981#1_1,0
68.0,337277981#1_0,0
68.0,337277981#2_1,0
68.0,337277981#2_0,0
68.0,42143912#5_0,0
68.0,42143912#3_0,0
68.0,42143912#4_0,0
68.0,337277970#1_0,0
68.0,337277970#1_1,0
68.0,40668087#1_0,0
69.0,567060342#1_0,0
69.0,567060342#0_0,0
