tiempo,semaforo_id,num_vehiculos,fase,duracion_verde
95.0,cluster_12013799529_12013799530_473195061,0,0,15
96.0,2496228891,2,0,15
96.0,cluster_12013799525_12013799526_2496228894,0,0,15
96.0,cluster_12013799527_12013799528_2190601967,0,0,15
96.0,cluster_12013799529_12013799530_473195061,0,0,15
97.0,2496228891,2,0,15
97.0,cluster_12013799525_12013799526_2496228894,0,0,15
97.0,cluster_12013799527_12013799528_2190601967,0,0,15
97.0,cluster_12013799529_12013799530_473195061,0,0,15
98.0,2496228891,2,0,15
98.0,cluster_12013799525_12013799526_2496228894,0,0,15
98.0,cluster_12013799527_12013799528_2190601967,0,0,15
98.0,cluster_12013799529_12013799530_473195061,0,0,15
99.0,2496228891,1,0,15
99.0,cluster_12013799525_12013799526_2496228894,0,0,15
99.0,cluster_12013799527_12013799528_2190601967,0,0,15
99.0,cluster_12013799529_12013799530_473195061,0,0,15
100.0,2496228891,1,0,15
100.0,cluster_12013799525_12013799526_2496228894,0,0,15
100.0,cluster_12013799527_12013799528_2190601967,0,0,15
100.0,cluster_12013799529_12013799530_473195061,0,0,15
101.0,2496228891,0,0,15
101.0,cluster_12013799525_12013799526_2496228894,0,0,15
101.0,cluster_12013799527_12013799528_2190601967,0,0,15
101.0,cluster_12013799529_12013799530_473195061,0,0,15
102.0,2496228891,0,0,15
102.0,cluster_12013799525_12013799526_2496228894,0,0,15
102.0,cluster_12013799527_12013799528_2190601967,0,0,15
102.0,cluster_12013799529_12013799530_473195061,0,0,15
103.0,2496228891,0,0,15
103.0,cluster_12013799525_12013799526_2496228894,0,0,15
103.0,cluster_12013799527_12013799528_2190601967,0,0,15
103.0,cluster_12013799529_12013799530_473195061,0,0,15
104.0,2496228891,0,0,15
104.0,cluster_12013799525_12013799526_2496228894,0,0,15
104.0,cluster_12013799527_12013799528_2190601967,0,0,15
104.0,cluster_12013799529_12013799530_473195061,0,0,15
105.0,2496228891,0,0,15
105.0,cluster_12013799525_12013799526_2496228894,0,0,15
105.0,cluster_12013799527_12013799528_2190601967,0,0,15
105.0,cluster_12013799529_12013799530_473195061,0,0,15
106.0,2496228891,0,0,15
106.0,cluster_12013799525_12013799526_2496228894,0,0,15
106.0,cluster_12013799527_12013799528_2190601967,0,0,15
106.0,cluster_12013799529_12013799530_473195061,0,0,15
107.0,2496228891,0,0,15
107.0,cluster_12013799525_12013799526_2496228894,0,0,15
107.0,cluster_12013799527_12013799528_2190601967,0,0,15
107.0,cluster_12013799529_12013799530_473195061,0,0,15
108.0,2496228891,0,0,15
108.0,cluster_12013799525_12013799526_2496228894,0,0,15
108.0,cluster_12013799527_12013799528_2190601967,0,0,15
108.0,cluster_12013799529_12013799530_473195061,0,0,15
109.0,2496228891,0,0,15
109.0,cluster_12013799525_12013799526_2496228894,0,0,15
109.0,cluster_12013799527_12013799528_2190601967,0,0,15
109.0,cluster_12013799529_12013799530_473195061,0,0,15
110.0,2496228891,0,0,15
110.0,cluster_12013799525_12013799526_2496228894,0,0,15
110.0,cluster_12013799527_12013799528_2190601967,0,0,15
110.0,cluster_12013799529_12013799530_473195061,0,0,15
111.0,2496228891,0,0,15
111.0,cluster_12013799525_12013799526_2496228894,0,0,15
111.0,cluster_12013799527_12013799528_2190601967,0,0,15
111.0,cluster_12013799529_12013799530_473195061,0,0,15
112.0,2496228891,0,0,15
112.0,cluster_12013799525_12013799526_2496228894,0,0,15
112.0,cluster_12013799527_12013799528_2190601967,0,0,15
112.0,cluster_12013799529_12013799530_473195061,0,0,15
113.0,2496228891,0,0,15
113.0,cluster_12013799525_12013799526_2496228894,0,0,15
113.0,cluster_12013799527_12013799528_2190601967,0,0,15
113.0,cluster_12013799529_12013799530_473195061,0,0,15
114.0,2496228891,0,0,15
114.0,cluster_12013799525_12013799526_2496228894,0,0,15
114.0,cluster_12013799527_12013799528_2190601967,0,0,15
114.0,cluster_12013799529_12013799530_473195061,0,0,15
115.0,2496228891,0,0,15
115.0,cluster_12013799525_12013799526_2496228894,0,0,15
115.0,cluster_12013799527_12013799528_2190601967,0,0,15
115.0,cluster_12013799529_12013799530_473195061,0,0,15
116.0,2496228891,0,0,15
116.0,cluster_12013799525_12013799526_2496228894,0,0,15
116.0,cluster_12013799527_12013799528_2190601967,0,0,15
116.0,cluster_12013799529_12013799530_473195061,0,0,15
117.0,2496228891,0,0,15
117.0,cluster_12013799525_12013799526_2496228894,0,0,15
117.0,cluster_12013799527_12013799528_2190601967,0,0,15
117.0,cluster_12013799529_12013799530_473195061,0,0,15
118.0,2496228891,0,0,15
118.0,cluster_12013799525_12013799526_2496228894,0,0,15
118.0,cluster_12013799527_12013799528_2190601967,0,0,15
118.0,cluster_12013799529_12013799530_473195061,0,0,15
119.0,2496228891,0,0,15
119.0,cluster_12013799525_12013799526_2496228894,0,0,15
119.0,cluster_12013799527_12013799528_2190601967,0,0,15
119.0,cluster_12013799529_12013799530_473195061,0,0,15
